
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
BAV99                            D002                              59   1      1   1   1 1           1 0 +3.3V-2             (729-55-13)
BAV99                            D002                              59   1      2   2   1 2           2 0 GND                 (729-26-13)
BAV99                            D002                              59   1      3   3   1 3           3 0 +5v-1               (1261-1-13)
BAV99                            D004                              57   1      1   1   1 1           1 0 GND                 (729-26-13)
BAV99                            D004                              57   1      2   2   1 2           2 0 +3.3V-2             (729-55-13)
BAV99                            D004                              57   1      3   3   1 3           3 0 Tx                  (820-5-13)
BAV99                            D005                              58   1      1   1   1 1           1 0 GND                 (729-26-13)
BAV99                            D005                              58   1      2   2   1 2           2 0 +3.3V-2             (729-55-13)
BAV99                            D005                              58   1      3   3   1 3           3 0 XSIG011410          (1136-6-13)
BAV99                            D200                              64   1      1   1   1 1           1 0 GND                 (729-26-13)
BAV99                            D200                              64   1      2   2   1 2           2 0 +3.3V-2             (729-55-13)
BAV99                            D200                              64   1      3   3   1 3           3 0 GK01                (729-15-13)
BAV99                            D201                              65   1      1   1   1 1           1 0 GND                 (729-26-13)
BAV99                            D201                              65   1      2   2   1 2           2 0 +3.3V-2             (729-55-13)
BAV99                            D201                              65   1      3   3   1 3           3 0 GK02                (729-16-13)
BAV99                            D202                              60   1      1   1   1 1           1 0 GND                 (729-26-13)
BAV99                            D202                              60   1      2   2   1 2           2 0 +3.3V-2             (729-55-13)
BAV99                            D202                              60   1      3   3   1 3           3 0 FA01                (729-9-13)
BAV99                            D203                              62   1      1   1   1 1           1 0 GND                 (729-26-13)
BAV99                            D203                              62   1      2   2   1 2           2 0 +3.3V-2             (729-55-13)
BAV99                            D203                              62   1      3   3   1 3           3 0 FA02                (729-10-13)
BAV99                            D204                              63   1      1   1   1 1           1 0 GND                 (729-26-13)
BAV99                            D204                              63   1      2   2   1 2           2 0 +3.3V-2             (729-55-13)
BAV99                            D204                              63   1      3   3   1 3           3 0 W01                 (729-7-13)
BAV99                            D205                              61   1      1   1   1 1           1 0 GND                 (729-26-13)
BAV99                            D205                              61   1      2   2   1 2           2 0 +3.3V-2             (729-55-13)
BAV99                            D205                              61   1      3   3   1 3           3 0 W02                 (729-8-13)
BAV99                            D206                              67   1      1   1   1 1           1 0                     (0-0-0)
BAV99                            D206                              67   1      2   2   1 2           2 0 XSIG011438          (729-92-13)
