Longest to shortest nets
==========================================================
Net	Total Length
+3.3V	 189.74	
GND	 138.74	
+3.3V-2	 131.36	
+12V	 128.76	
+	 97.63	
K01	 73.65	
sw	 72.15	
+5V	 62.53	
K02	 62.1	
XSIG011438	 56.42	
D+	 52.12	
XSIG011137	 52.06	
XSIG011545	 51.43	
D-	 51.33	
+5v-1	 48.82	
FA01	 40.54	
CL_EN	 40.12	
XSIG011410	 39.56	
ISOGND	 38.23	
XSIG011323	 36.62	
FA02	 36.59	
+5VISO	 35.78	
XSIG011076	 34.96	
W02	 34.88	
NRST	 33.66	
FA_EN	 31.5	
Tx	 29.77	
GS	 29.46	
W01	 29.01	
XSIG011521	 28.95	
GK02	 28.92	
CL_PWR	 27.23	
XSIG011372	 26.74	
XSIG011377	 26.68	
SWDCLK	 26.21	
GK01	 25.11	
CL_VHI	 23.98	
+RP	 23.27	
SWDIO	 22.67	
XSIG011268	 20.43	
PR_RST	 18.84	
XSIG011374	 18.54	
SWDIO.	 18	
+5v-2	 17.98	
sw2	 17.63	
-RP	 16.93	
XSIG011272	 16.29	
Rx	 15.76	
XSIG011379_1	 14.84	
XSIG011098	 14.73	
XSIG011394	 14.68	
XSIG011160	 14.29	
XSIG011459	 11.66	
VDDA	 11.56	
GS_EN	 11.51	
D+2	 10.56	
XSIG010920_2	 10.5	
XSIG010980	 10.3	
XSIG010920	 9.53	
XSIG010919	 9.46	
XSIG011123	 9.38	
XSIG011284	 9.27	
D-2	 9.14	
XSIG011379	 8.95	
XSIG011606	 8.26	
XSIG011612	 8.12	
XSIG011615	 8.01	
XSIG011613	 8	
XSIG011122	 7.96	
XSIG011143	 7.94	
XSIG011389	 7.85	
XSIG011390	 7.81	
XSIG011276	 7.76	
XSIG011371	 7.46	
XSIG011373	 7.45	
XSIG011380	 7.42	
XSIG011378	 7.35	
XSIG011376	 7.34	
XSIG011610	 7	
XSIG011596	 6.9	
XSIG011266	 6.58	
XSIG011385	 6.57	
XSIG011248	 6.29	
XSIG011274	 6.15	
XSIG011599	 5.98	
XSIG011547	 5.96	
D+1	 5.46	
XSIG011539	 5.43	
XSIG011384	 5.28	
XSIG010933	 5.03	
XSIG011469	 4.82	
XSIG010972	 4.62	
XSIG011546	 4.32	
XSIG011246	 3.89	
D-1	 3.87	
XSIG010913	 3.68	
XSIG010912	 3.54	
XSIG011213	 3.31	
XSIG011282	 3.08	
XSIG010970	 2.91	
XSIG011156	 2.57	
BOOT	 2.36	
XSIG011554	 2.3	
XSIG010971	 2.04	
XSIG011270	 1.93	
XSIG011075	 0	
XSIG011535	 0	
XSIG010916	 0	
XSIG010932	 0	
